,ID,年齢,性別,都道府県,年収(下限),年収(上限),学歴,大学,学部,卒業,英語,DS経験年数,コアスキル
11,BU0262756,39,男性,東京都,1000,1250,大学院卒（修士）,名古屋大学,情報科学研究科 複雑系科学専攻,2010年3月,ビジネス会話レベル,11,データサイエンス：RやPythonを用いた統計解析、機械学習#機械学習：人工知能、画像処理、自然言語処理のモデル開発#DB、DWH：Oracle、PostgreSQL、BigQueryなどのデータベース構築、運用#BI：BIツールの導入(Oracle、Data Portal、tableau )#プログラミング：python、javascript(Node.js、jqueryなど)#クラウド：AWS、GCP、GWS、GASを横断した開発#システム開発：要件定義、設計、開発、検証、運用#コンサルティング：顧客や社内ユーザへのデリバリー、折衝能力、分析企画#マネジメント：プロジェクト管理、オフショアラボ開発のチーム構築#事業企画：事業会社での新規システム企画、アプリ企画#採用：ITエンジニアの採用
12,BU2425709,31,男性,東京都,1000,1250,大学院卒（修士）,慶應義塾大学,政策・メディア研究科 ,,日常会話レベル,3,"Cloud#データベース#Linux#ETL#自動音声対応システムの構築#チャットボット構築#ウォーターフォール型のアプリ構築#アジャイル開発経験#ビッグデータを用いたシステムの設計・開発・運用#Python#AWS,GCP#マーケティング施策のためのデータ分析"
13,BU0951147,31,男性,東京都,600,750,大学卒,札幌大学,経営学部経営学科 ,2015年3月,基礎会話レベル,1,"プレゼンテーション（経営層向け／顧客向け）#Webマーケティング（リスティング広告運用含む）#ダイレクトマーケティング#市場調査#Office（Excel（VBA含む）、Word、PowerPoint)#コンサルティング営業#10名以上のマネジメント能力#中小企業向けコンサルティング経験#大企業向けコンサルティング経験#海外プロジェクト経験（中国・シンガポール）#プログラミング（Web系・HTML/CSS, Jacascript, Vue.js, Nuxt.js, Python）#プログラミング（分析系・Python, SQL）"
14,BU3420398,31,男性,東京都,1250,1500,大学卒,法政大学,文学部心理学科 ,2014年3月,なし,4,データサイエンティスト#アナリスト#データアナリティクス#講師#データ解析#ビッグデータ#プロジェクトマネージャー#法人営業#機械学習#データサイエンス#Python#SQL#R#データ分析#統計学#SPSS#データアナリティクス活用経験#データアナリスト#決定木分析#データクレンジング#データ分析手法#大規模データ分析#データマイニング手法#機械学習ツール#ビジネスデータ分析#アナリティクス分析#ビジネストランスレーター
15,BU1418601,30,男性,東京都,750,1000,大学院卒（修士）,金沢大学,自然科学研究科数物科学専攻 ,2016年3月,ビジネス会話レベル,6,新規事業立ち上げにおける顧客開発#機械学習アルゴリズム開発の経験#プログラムの知識（Python、pytorch、SQLなど）#データサイエンス分野#クラウド（Google Cloud）
16,BU0383672,44,男性,東京都,1000,1250,大学院卒（修士）,University,of ,2005年4月,ビジネス会話レベル,17,Data Science#Data Mining#SAS#Python#Machine Learning#Project Management#Team Management#Insurance#Credit Scoring#Causal Inference
17,BU2144426,37,男性,神奈川県,1000,1250,大学院卒（修士）,慶應義塾大学,理工学研究科 ,2011年3月,ビジネス会話レベル,0,データ分析#機械学習#ディープラーニング#画像処理#ITコンサルティング#プロジェクトマネジメント#プレゼンテーション#リーダー#カメラ画質#Python#C++#Matlab#英語
18,BU2984558,30,女性,東京都,750,1000,大学院卒（修士）,筑波大学大学院,コンピュータサイエンス（Computer ,2019年3月,ビジネス会話レベル,2,python、SQL、モデル構築・開発#統計、数学#データ分析#AIモデル構築#Big Data#Data Analytics#Google BigQuery#レコメンドエンジン
19,BU1997307,34,男性,東京都,750,1000,大学院卒（修士）,京都大学,工学部 ,,日常会話レベル,0,データサイエンティスト
20,BU2193448,28,男性,東京都,600,750,大学院卒（修士）,サウサンプトン大学,Electronics ,2018年11月,ビジネス会話レベル,5,データ分析#機械学習アルゴリズムのプロダクトへの実装#Dashboard構築#A/Bテストの設計と評価#データウェアハウス、マートの構築#他部署を巻き込んだ業務改善#ベンダーを含むプロジェクトマネジメント#英語論文の読解、解説#英語での論文添削、発表指導#Python#R#SQL#GCP#AWS#GAS#Ruby#Ruby On Rails
21,BU3853412,25,男性,東京都,500,600,大学卒,一橋大学,商学部商学科 ,,日常会話レベル,0,データ分析
22,BU2633279,34,男性,東京都,750,1000,大学院卒（修士）,東京大学,新領域創成科学研究科人間環境学専攻 ,2016年3月,日常会話レベル,4,Python#C/C++#英語力（TOEFL iBT: 96. 2016年9月取得）#機械学習/深層学習#自然言語処理#画像認識
23,BU3189425,27,男性,東京都,600,750,大学院卒（修士）,名古屋大学,多元数理科学研究科 ,,基礎会話レベル,3,SQL#LINUX#python#AIモデル構築
24,BU4665635,50,女性,東京都,750,1000,大学卒,明治大学,政治経済学部 ,,日常会話レベル,0,データベース#R#VBA
25,BU2256957,33,男性,神奈川県,1000,1250,大学院卒（修士）,早稲田大学,創造理工学研究科経営デザイン専攻 ,2014年3月,ビジネス会話レベル,4,プロジェクトマネジメント#プロジェクトコントロール#プランニング#スケジュールコントロール#Primavera P6#VBA#Python#C++#Power BI#tableau#R#Git#Docker#Flask#SQL#scikit-learn#statsmodels#scipy#numpy#pandas#Tensorflow#Pytorch#AWS#データ分析プロジェクト#機械学習領域#データ処理#統計的データ解析#データ解析業務経験#データ分析技術#データサイエンス分野#機械学習エンジニア#統計的データ分析#数理最適化#マーケティング#ベイズ推定#状態空間モデル#時系列解析#確率的プログラミング#効果測定#Terraform#Palantir
26,BU0302462,38,男性,東京都,1000,1250,大学院卒（博士）,東京大学,社会医学専攻医学博士課程 ,2021年9月,ビジネス会話レベル,0,"疫学・統計学・機械学習(Python, R, SPSS)#プログラミング(R, Python, SQL, SPARQL, Git)#研究遂行能力#公衆衛生学（社会疫学、行動科学）#プロジェクトマネジメント#執筆（日英）#プレゼンテーション#英語（ビジネスレベル）"
27,BU3344069,36,男性,神奈川県,1250,1500,大学院卒（修士）,東京大学,大学院情報理工学系研究科 ,2011年3月,日常会話レベル,4,機械学習#データ分析#Python
28,BU0757465,48,男性,千葉県,600,750,大学卒,日本大学,理工学部 ,,ビジネス会話レベル,7,データサイエンティスト#システム企画#DX推進
29,B00000004,29,男性,石川県,500,600,大学卒,大阪電気通信大学,情報通信工学部 ,2015年3月,なし,1,"クラウド基盤の利用経験（AWS、GCP、Azure）#機械学習(LightGBM, Random Forest, SVM, Logistic Regression)やDeep Learningを用いたモデル構築の経験#自然言語処理を用いたプロダクト開発経験#typescript/python"
30,BU0491125,35,男性,東京都,750,1000,大学卒,国立成功大学,情報工学 ,2012年6月,ネイティブレベル,2,"SQL#Python#データ分析 Tableau Power BI#ETL: Alteryx, Informatica#excel VBA#AWS"
31,BU2365701,44,男性,神奈川県,750,1000,大学院卒（博士）,広島大学,工学研究科 ,,日常会話レベル,3,既存の枠組みに捕らわれない自由で柔軟な発想力による課題解決の糸口を発掘#専門ではない分野でもゼロから論理的に仮説を立て、データから分析、エビデンスを発見すること#データエンジニアリング（前処理、DB選定、データ構造）#データアナリスト（特徴量抽出、分析、可視化）#データサイエンティスト能力（ビジネスモデリング、クリティカルシンキング、デザインシンキング、交渉）#機械学習エンジニア（回帰モデル開発、分類モデル開発、異常検知モデル開発）#機械学習リサーチャー（論文アルゴリズム実装、アルゴリズム開発、フレームワーク検討）#テクニカルサポート（プリセールス資料作成、リファレンスコーディング・資料作成、セミナー講師）#トラブルシューティング（QA、デバッグ）
32,BU2706121,46,女性,埼玉県,500,600,大学卒,千葉大学,文学部行動科学科 ,1999年3月,日常会話レベル,0,データマイニング#行動ターゲティング#需要予測
33,BU2160952,33,男性,埼玉県,600,750,大学院卒（修士）,ブリストル大学,経済学 ,2014年2月,ビジネス会話レベル,5,Python#SQL#RDB#Microsoft Azure#Microsoft Office#Hadoop#統計学
34,BU4353654,27,男性,東京都,500,600,大学院卒（修士）,東京大学,工学部 ,,ビジネス会話レベル,0,
35,BU2549328,30,男性,東京都,600,750,大学院卒（修士）,東北大学,,,基礎会話レベル,0,PjM経験（1年以上のプロジェクト）#施策立案経験#施策提案経験#資料作成経験#効果検証方法設計経験#データ収集方法設計経験#データ前処理経験#特徴量スパース化経験#欠損値補完経験#EDA経験#次元削減経験#クラスタリング経験#モデル選択経験#モデル開発経験#モデル定式化経験#特徴量エンジニアリング経験#特徴量選択経験（LASSO、Feature Importance）#パラメータチューニング経験#Cross-Validation経験#precision#recall#AUC#AUUC : Area Under the Uplift Curve#RMSE#MAE#MAPE#NDCG#APE#A/B testing#多重比較法#並べ替え検定#時系列異常検知#外れ値検知
36,BU2378333,42,男性,東京都,750,1000,大学卒,愛媛大学,法文学部総合政策学科 ,,日常会話レベル,2,Hadoop#機械学習・AI#SQL#Java#Scala#Python#Ruby#アーキテクチャ設計#Android#Jetpack
37,BU1839636,34,男性,埼玉県,600,750,大学院卒（修士）,九州大学,大学院数理学府 数理学専攻,2013年3月,ビジネス会話レベル,5,"Python, R, SQL といったプログラミング言語の知識と実務での使用経験#Python を用いたコマンドラインツール、Webアプリケーションの開発#Flask, FastAPI といったフレームワークの使用経験#GitLabでのソースコード管理と自動化#クラウド環境における大規模データ処理の経験#機械学習/統計モデルの基本的な知識#基本的な株系デリバティブの商品性の理解#デリバティブ評価モデル（ローカルボラティリティ、確率的ボラティリティなど）の知識#プロジェクト遂行のために自立的に動く能力#様々な職種の人々と協働できる能力（例：プロダクト責任者、非技術職の担当者、エンジニア）#技術的な内容を非専門家向けに分かりやすく説明できる能力"
38,BU3702957,28,男性,埼玉県,600,750,大学卒,早稲田大学,先進理工学部物理学科 ,,なし,5,Python#SQL#プレゼンテーション#組織コンサル#AWS#GCP#Docker#Googleアナリティクス#Firebase#アプリ、webアクセス解析
39,BU4453069,37,男性,東京都,1000,1250,大学院卒（修士）,九州大学大学院,数理学府数理学専攻 ,2010年3月,なし,5,統計学や機械学習の専門書や論文を読みこなせる数理的能力#サイト独自のアルゴリズムを企画開発してきた経験#データウェアハウスやBIツールを用いたダッシュボードの開発経験#データ集計ワークフローの維持保守の経験#海外を含めたリモートで働くメンバーの育成とマネジメント経験#金融機関のクリティカルなプロジェクトにおけるマネジメント経験#個人ブログや企業のテックブログの記事執筆を通して身に着けた情報発信力
40,BU4453302,28,男性,東京都,500,600,大学院卒（修士）,早稲田大学大学院,情報理工 ,2022年3月,ビジネス会話レベル,1,"機械学習 (TensorFlow、Keras、Scikit-Learn)#データ分析(Excel, Python, Jupyter)#SQL (MySQL, Oracle)#Java (Spring Boot)"
41,BU3371263,39,男性,神奈川県,750,1000,大学院卒（修士）,電気通信大学,電子工学専攻 ,2008年3月,日常会話レベル,3,ソフトウェア開発#機械学習#データ処理
42,BU0046368,43,男性,東京都,3000,5000,大学卒,甲南大学,理学部 ,,ビジネス会話レベル,0,Python、TensorFlowを用いたAI（機械学習、DL）によるプロダクト開発、運用#戦略コンサルタントとして金融を始め様々な業界の経営、IT組織運営のコンサルティングを経験#Fintech（AI、Blockchain）関連テクノロジーの評価・戦略立案経験#テクニカルコンサルタントとして金融から製造・物流まで様々な業種のアプリ開発コンサルティングを経験#マイクロソフト製品（Azure、VisualStudio、Team Foundation Server、SQLServer）の知識と活用方法#Clud環境利用の汎用的な知識（Azure、GCP、AWS）#簡易なマイコン制御、機械加工といったIoTの実現に必要なデバイスの知識#Application Lifecycle Managementの導入による開発・運用コストの削減作業の遂行#IT戦略コンサルタントとして、IT業界だけではなく様々な業界の情報を取り入れ戦略の立案や実行を経験#ホストからオープンシステムへのマイグレーション経験#Java、Oracle、WebSphere、Linuxの組み合わせによるシステム構築経験
43,BU4374992,29,男性,東京都,500,600,大学卒,京都教育大学,教育学部数学領域専攻 ,,なし,1,数学教育#Big Query#Tableau
44,BU1199531,41,女性,東京都,750,1000,大学院卒（修士）,東京工業大学,理工学研究科集積システム専攻 ,2006年3月,日常会話レベル,1,映像や音声に関する知識#コーデックに関する知識#仕様書作成のノウハウ#ネットワーク構築のノウハウ#IP化等の中長期計画を作成した経験#アイディアを元に周りを巻き込んで実現した経験#プロジェクトの工程管理、ベンダーコントロールの経験#データサイエンス、Python、R、SQL、Tableau#デジタル広告のABテストの設計
45,BU2908439,39,男性,東京都,600,750,大学卒,Bicocca,Milan ,2015年6月,ビジネス会話レベル,1,python#nodejs#データ分析
46,BU2025593,30,男性,東京都,500,500,大学卒,東京大学,経済学部・経営学科 ,2016年3月,ビジネス会話レベル,1,データ分析#Webアプリ設計・開発
47,BU4764405,23,男性,東京都,600,750,大学卒,Indian,Institute ,2020年8月,ビジネス会話レベル,2,Data processing#Deep learning#Machine Learning#Python#SQL#Programming#Data Analysis#Data Visualization#Amazon AWS
48,BU3675858,29,女性,東京都,500,600,大学院卒（修士）,一橋大学,経済学研究科 応用経済専攻,2018年3月,基礎会話レベル,1,データ分析#tableau等のツールでデータ可視化#HiveSQL#Python#MySQL#機械学習#Java
49,BU3024658,36,男性,東京都,750,1000,大学院卒（博士）,慶應義塾大学,医学研究科 ,2021年3月,日常会話レベル,0,製薬#RWD#論文#研究#SQL#Tableau#Python#R#薬剤師#MR#PHR#回帰分析#STATA#SAS
50,BU2299482,30,男性,東京都,600,750,大学院卒（修士）,北海道大学,情報科学研究科 ,2017年3月,なし,4,機械学習#データマイニング#研究開発
51,BU4218246,28,男性,東京都,500,600,大学卒,一橋大学,経済学部 ,2018年3月,日常会話レベル,2,データ分析#AWSの活用#対外折衝#英会話#python#データウェアハウス構築#データ可視化経験
52,BU2838420,36,男性,東京都,1250,1500,大学院卒（修士）,九州大学,理学府物理学専攻 ,2011年3月,日常会話レベル,4,機械学習・深層学習を使ったモデル開発#マクロ経済予測#企業分析
53,BU1574151,30,男性,千葉県,750,1000,大学卒,青山学院大学,国際政治経済学 ,,日常会話レベル,3,多様なステークホルダーをまとめるプロジェクト管理・推進スキル#ウェブ・モバイルアプリのUI/UX設計#NoCode / LowCodeツールを用いた新規事業立ち上げ#B2B SaaSプロダクトの営業企画#Python・Rを用いた統計的データ解析#BIやSQLを用いたデータからの示唆出し・意思決定支援#データ分析基盤構築（DataLake・DWH・DM・BI）#業務プロセスの構築・GASやVBA、AWS Lambda等を用いた業務自動化#専門統計調査士の知識をもとにしたユーザヒアリング等による定性的情報の収集と示唆出し
54,BU2715074,26,女性,東京都,500,600,大学卒,成蹊大学,理工学部情報科学科 ,,日常会話レベル,2,webアプリケーションの開発スキル#機械学習の理論理解と実装スキル#ディープラーニングの理論理解と実装スキル#機械学習モデル構築#データ前処理#ビックデータ解析
55,BU0994486,37,男性,東京都,600,750,大学院卒（博士）,立教大学,理学研究科物理学専攻 ,2013年9月,日常会話レベル,3,"研究#学会発表, 論文発表#専門教育#データ分析"
56,BU3847244,32,男性,東京都,600,750,大学院卒（博士）,京都大学,理学研究科 ,2020年3月,日常会話レベル,0,Python#SQL#機械学習#統計解析#AWS Athena#Linux#Tableau#AWS S3#AWS EC2#AWS Quicksight
57,BU1296349,29,女性,神奈川県,500,600,その他,東京理科大学,工学部第二部 ,,ビジネス会話レベル,0,外注管理#プロジェクトの進捗管理#メンバー、リーダー育成・研修#チーム管理#面接#テストケース作成#python#spark#sql#aws
58,BU2111165,45,男性,千葉県,1500,2000,大学卒,東京大学,文学部行動文化学科社会学専攻 ,2000年3月,基礎会話レベル,8,デジタル中心ではない会社における、DX推進の組織化、方針提案、推進#エンジニア組織立ち上げ、採用、エンジニアリングマネージメント#Webサービスのプロダクトマネージメント、プロジェクト推進#データと市場調査・UX調査を組み合わせた事業課題の分析と解決策の提示#データ分析やモデリングによるKPI・指標の定義、データ活用基盤開発、SQL、BI、アクセス解析実務
59,BU4657032,30,男性,神奈川県,500,600,大学院卒（修士）,東京大学,理学系研究科地球惑星科学専攻 ,2017年3月,ビジネス会話レベル,3,AWS#ROS2#Python#ソフトウェアテスト#Docker#工事現場
60,BU3102015,25,男性,東京都,500,600,大学院卒（修士）,北九州市立大学,国際環境工学研究科情報工学専攻 ,2020年3月,基礎会話レベル,0,
61,BU1889108,43,男性,東京都,600,750,大学院卒（MBA）,早稲田大学,大学院 商学研究科,2010年3月,ビジネス会話レベル,0,市場調査#仮説検証#需要予測#SQL#R#システム設計
62,BU2829055,29,男性,東京都,1000,1250,大学卒,早稲田大学,基幹理工学部 ,2017年10月,ビジネス会話レベル,3,機械学習#ダイナミックプライシング#高頻度取引#Webサービス開発#ブロックチェーン技術#クラウド開発(GCP)#データベース#Python/PHP/Javascript/C++#データ分析#ビジネスサイドとのコミュニケーション#データの可視化#データ基盤/インフラ整備
63,BU2247800,42,男性,京都府,750,1000,大学院卒（修士）,東京大学,コンピュータ科学専攻 ,2004年3月,日常会話レベル,2,機械学習のモデル構築、機械学習による分析
64,BU3564460,32,男性,埼玉県,1000,1250,その他,放送大学（在学中）,,,なし,2,AWS（IAM、S3、Fargate、Cloudtrail、etc...）と、IaC（Terraform）#GCP（IAM、Cloud Functions、Google Workspaceとの連携、etc...）と、IaC（Terraform）#様々なプログラミング言語とツールの経験（Python、SQL、Shell Script、Apache Spark、Scala、Golang、R、C++、Git、CircleCI、etc...）#曖昧な要求から不明点を明らかにし合意形成まで持ち込むまでの、調査力とファシリテーション力#新規技術を深耕する好奇心とキャッチアップ力#教育・テクニカルサポート#ドキュメンテーション#中長期的な戦略立案と、それを支える短期目標の策定
65,BU2589286,30,男性,東京都,750,1000,大学院卒（修士）,東京工業大学,理学院物理学系物理学コース ,2018年3月,基礎会話レベル,4,機械学習#統計学#最適化#金利#国債#数理ファイナンス#python#C##AWS#Azure#Tableau#jenkins
66,BU2894130,39,男性,東京都,1250,1500,大学院卒（博士）,エール大学,経済 ,2014年5月,ビジネス会話レベル,2,SQL#機械学習#統計解析
67,BU4620935,26,男性,神奈川県,500,600,大学院卒（修士）,早稲田大学, ,2021年3月,基礎会話レベル,1,データ処理
68,BU3070261,28,男性,東京都,500,600,大学院卒（MBA）,大阪大学,経済経営 ,,基礎会話レベル,0,データ処理
69,BU2782287,27,男性,神奈川県,500,500,大学院卒（修士）,室蘭工業大学,大学院 ,2019年3月,基礎会話レベル,2,"Java, SpringBoot#Python#Go#PHP, Laravel#javascript jQuery Vue Nuxt#SQL, MySQL, PostgreSQL, Redshift#データ分析, 機械学習#データに基づく提案力#機械学習を用いたサービスの提案力#メンターで身についたマネジメント力"
70,BU4010394,28,男性,神奈川県,500,600,大学院卒（修士）,東京電機大学院,建築学専攻 ,,基礎会話レベル,0,SQL#Python#Pyspark#shellscript#Tableau
71,BU1458792,46,男性,神奈川県,600,750,大学卒,駒澤大学,文学部社会学科心理学コース ,2000年3月,なし,0,顧客分析（デシル分析、RFM、クラスター分析など）、施策のレスポンス予測等の各種予測分析、商品レコメンド、需要予測、テキストマイニング 、センサーデータ解析（異常検知、周波数解析）、ディープラーニング（画像認識）#IBM SPSS Modeler、R、SQL、Python、Keras（TensorFlow）、SAS、Tableau、QlickView、NYSOL、TrueTeller#PostgreSQL、MySQL、Amazon Redshift、DB2 BLU、Teradata Aster、Greenplum（MADLib）、SQL Server、Oracle、Sybase#PHP、HTML，JavaScript、Perl、C++、VC++、VB.NET、ASP.NET
72,BU1570438,33,男性,宮城県,600,750,大学院卒（博士）,東北大学大学院,理学研究科数学専攻 ,2018年3月,日常会話レベル,2,Python#SQL#環境構築#データエンジニアリング#データサイエンス
73,BU2328843,45,男性,東京都,1000,1250,大学卒,国立大学法人,岩手大学 ,2000年3月,なし,0,ＢtoＢ#行動ターゲティング#データマイニング
74,BU1216038,32,男性,東京都,1000,1250,大学卒,University,of ,2014年12月,ビジネス会話レベル,0,機械学習#python#javascript#ruby#React#英語：ビジネスレベル#Vue.js
75,BU0586013,40,女性,東京都,500,500,大学卒,獨協大学,外国語学部 ,2006年3月,日常会話レベル,0,SQL・HQL#DBの導入・開発・運用までの一通りの知識と経験#データ分析#Excel・Access VBA
76,BU3229390,34,男性,東京都,1250,1500,大学院卒（修士）,東京大学,情報理工学系研究科 ,2014年3月,日常会話レベル,0,スクラム手法を中心としたアジャイルなプロジェクト運用#幅広い技術知識による少人数でのプロジェクト立ち上げ#Webサーバーのバックエンドの開発経験#rustやc++などのモダンなプログラミング言語を利用した効率的な組込み開発#枯れた機械学習技術の素早いPoC適用
77,BU1862998,28,男性,兵庫県,500,500,大学卒,大阪府立大学,,,日常会話レベル,2,Python#画像処理エンジニア検定エキスパート#プロジェクトマネジメント
78,BU2275531,33,男性,東京都,750,1000,大学院卒（修士）,マンチェスター大学,国際開発学部 ,,ビジネス会話レベル,0,SQL#動的リマーケティング広告#リスティング広告#ブランディング広告#デジタルマーケティング#アフィリエイト広告#インフルエンサーマーケティング#メディア、代理店と協力して外部広告を利用した流入戦略#消費者の購買分析#LTV分析#英語を活かした海外のステークホルダーとの連携
79,BU0390678,40,男性,東京都,600,750,その他,東京大学大学院（単位取得退学）,経済学研究科 ,2013年3月,ビジネス会話レベル,9,ミクロ経済学#データ分析#データ関連ソフトウェアの導入と実装#機械学習#人工知能#マーケットデザイン#論理的思考#ゲーム理論#ダイナミック・プライシング#Python#BigQuery#レコメンデーション#マッチング#因果推論
80,BU3086223,32,男性,東京都,1000,1250,大学院卒（MBA）,一橋大学,商学研究科MBAコース ,2013年3月,基礎会話レベル,8,データ分析スキル#コンサルティングスキル#人事関連スキル（採用、育成、配置）
81,BU2434790,29,男性,大阪府,500,500,大学院卒（修士）,大阪府立大学大学院,理学系研究科物理科学専攻 ,2019年3月,なし,2,Python（Tensorflowを好みます）#SQL（MySQL）#PHP・cakePHP#AWS#機械学習/Deep Learning#データ分析
82,BU1644527,32,男性,東京都,500,500,大学院卒（修士）,東北大学,理学研究科 ,2015年3月,基礎会話レベル,1,データ処理
83,BU2813059,32,男性,東京都,1000,1250,大学院卒（修士）,京都大学,人間環境学研究科 ,,基礎会話レベル,0,統計解析#仮説検証#統計学#SAS#SQL#国際金融規制対応#個人情報漏洩対応#割賦販売法改正対応#RAFの策定#レピュテーショナルリスク管理#オペレーショナルリスク管理#DataRobot#python#機械学習を用いた不正検知モデルの開発#分析用データマートの設計#機械学習モデル構築#データ解析系プログラミング#数理アルゴリズム#統計解析モデル#機械学習アルゴリズム
84,BU3474067,32,男性,埼玉県,750,1000,大学卒,武蔵大学,経済 ,,なし,4,tableau#qgis#R#python#bigquery#postgres#mysql#レポーティング#データクレンジング#機械学習#web分析#Google Analytics#VBA#データベース設計#顧客分析#クラスタリング#Excel#PowerPoint
85,BU4384468,26,男性,東京都,500,500,大学院卒（修士）,東京工業大学,環境・社会理工学院 ,2019年4月,ビジネス会話レベル,1,電気通信#MATLAB（基本レベル）#Python（基本レベル）#Power BI（基本レベル）#SQL（基本レベル）
86,BU4510593,29,男性,茨城県,600,750,大学院卒（修士）,滋賀大学,データサイエンス研究科 ,2021年3月,日常会話レベル,2,機械学習#統計モデリング#因果推論#R#データコンサルティング#多変量解析
87,BU4184876,29,男性,埼玉県,500,600,大学院卒（博士）,東京大学,新領域創成科学研究科 社会文化環境学,2021年9月,ビジネス会話レベル,1,データ処理#Python#Deep Learning
88,BU1298394,41,男性,東京都,1000,1250,大学卒,芝浦工業大学,システム工学部 電子情報システム学科,,日常会話レベル,7,データ分析#機械学習#業務効率化
89,BU2992846,29,男性,神奈川県,1000,1250,大学院卒（修士）,大阪大学大学院,システム創成専攻 ,2018年3月,基礎会話レベル,5,データ分析#統計解析#多変量解析#因果推論#時系列解析#機械学習#R#Julia#Python
90,BU0166537,39,女性,東京都,1000,1250,大学院卒（修士）,東京大学大学院,理学系研究科 物理化学専攻,2008年3月,ビジネス会話レベル,1,"Solution Architectとして各種クラウド/オンプレサービス間のインテグレーションの経験#Treasure DataのSalesからインプリまでを実行した経験#データサイエンスを実業で活用するためのビジネスコンサルティング能力#C、javascript、R、python、SQLなどに堪能#PMとしてのプロジェクト推進経験/能力#グローバルに働いた経験と英語能力#arduino, mbedなどエッジコンピューティングの経験とエバンジェリストとしての推進能力#顧客企業に深く入り込みインプリを推進する能力"
91,BU3472094,30,女性,東京都,500,500,大学院卒（修士）,筑波大学,システム情報工学研究科 ,,ビジネス会話レベル,1,データ処理#機械学習#Python
92,BU2777228,36,男性,東京都,1250,1500,大学卒,東京都立大学,理学部物理学科 ,,基礎会話レベル,5,データサイエンス#機械学習#統計学#データ処理#画像処理#深層学習
93,BU4305420,28,男性,東京都,600,750,大学院卒（修士）,慶應義塾大学, ,2020年3月,日常会話レベル,2,データ処理
94,BU4158139,30,男性,埼玉県,600,750,大学院卒（修士）,筑波大学,システム情報工学研究科 ,,日常会話レベル,6,(ベイズ)統計学#(ベイズ)統計モデリング#機械学習#論文実装
95,BU2775200,27,女性,東京都,500,600,大学卒,慶應義塾大学,総合政策学部 ,2018年3月,ビジネス会話レベル,2,コンサルティング#データサイエンス#Youtuber
